Date;Départ;Arrivée;Nombre de trains programmés;Nombre de trains ayant circulé;Nombre de trains annulés;Nombre de trains en retard à l'arrivée;Taux de régularité;Nombre de trains à l'heure pour un train en retard à l'arrivée
2025-06;CAHORS/BRIVE;PARIS-AUSTERLITZ;202;201;1;19;90.54726368159204;9.578947368421051
2025-06;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;83;81;2;12;85.18518518518519;5.75
2025-06;PARIS-AUSTERLITZ;AURILLAC;7;6;1;0;100.0;0.0
2025-06;PARIS-AUSTERLITZ;LATOUR-DE-CAROL;8;8;0;2;75.0;3.0
2025-06;PARIS-AUSTERLITZ;BRIANÇON;29;29;0;12;58.620689655172406;1.4166666666666667
2025-06;PARIS-AUSTERLITZ;NICE-VILLE;30;30;0;14;53.333333333333336;1.1428571428571428
2025-06;LYON;NANTES;90;86;4;16;81.3953488372093;4.375
2025-06;BORDEAUX-ST-JEAN;MARSEILLE-ST-CHARLES;199;193;6;87;54.92227979274611;1.2183908045977012
2025-06;PARIS-AUSTERLITZ;TOULOUSE-MATABIAU;23;23;0;5;78.26086956521739;3.6
2025-06;BRIANÇON;PARIS-AUSTERLITZ;29;29;0;14;51.72413793103448;1.0714285714285714
2025-06;NICE-VILLE;PARIS-AUSTERLITZ;30;30;0;16;46.66666666666666;0.875
2025-06;PARIS-BERCY;CLERMONT-FERRAND;224;208;16;38;81.73076923076923;4.473684210526316
2025-06;NANTES;LYON;89;84;5;16;80.95238095238095;4.25
2025-06;BORDEAUX-ST-JEAN;NANTES;120;119;1;17;85.71428571428571;6.0
2025-06;NANTES;BORDEAUX-ST-JEAN;120;119;1;28;76.47058823529412;3.25
2025-06;NANCY;LYON;30;30;0;5;83.33333333333334;5.0
2025-06;PARIS-AUSTERLITZ;TARBES;19;19;0;3;84.21052631578947;5.333333333333333
2025-06;PARIS-AUSTERLITZ;CERBERE;9;8;1;1;87.5;7.0
2025-06;CERBERE;PARIS-AUSTERLITZ;8;8;0;3;62.5;1.6666666666666667
2025-06;HENDAYE;TOULOUSE-MATABIAU;120;120;0;23;80.83333333333333;4.217391304347826
2025-06;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;84;81;3;15;81.48148148148148;4.4
2025-06;LYON;NANCY;30;29;1;5;82.75862068965517;4.8
2025-06;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;23;23;0;2;91.30434782608695;10.5
2025-06;PARIS-AUSTERLITZ;RODEZ/ALBI;13;13;0;1;92.3076923076923;12.0
2025-06;TARBES;PARIS-AUSTERLITZ;19;19;0;1;94.73684210526316;18.0
2025-05;BÉZIERS;CLERMONT-FERRAND;31;31;0;2;93.5483870967742;14.5
2025-05;CLERMONT-FERRAND;BÉZIERS;31;31;0;1;96.7741935483871;30.0
2025-05;LYON;NANTES;77;77;0;9;88.31168831168831;7.555555555555555
2025-05;TOULOUSE-MATABIAU;PARIS-AUSTERLITZ;20;19;1;1;94.73684210526316;18.0
2025-05;PARIS-AUSTERLITZ;AURILLAC;10;10;0;2;80.0;4.0
2025-05;TARBES;PARIS-AUSTERLITZ;18;18;0;0;100.0;0.0
2025-05;CERBERE;PARIS-AUSTERLITZ;8;8;0;3;62.5;1.6666666666666667
